order-id,purchase-date,sku,quantity-purchased
114-5345510-7533864,2022-07-19T05:01:48-07:00,36500,1.0
114-1865339-6726610,2022-07-19T05:03:30-07:00,777850,1.0
111-2418640-3449039,2022-07-19T05:23:08-07:00,24124,2.0
112-9729339-7408256,2022-07-19T05:26:39-07:00,23233,1.0
114-9787039-5497814,2022-07-19T05:26:46-07:00,791193,4.0
113-1660141-4616254,2022-07-19T05:36:55-07:00,724150,1.0
113-0051241-6615410,2022-07-19T05:36:06-07:00,791192,1.0
113-9752165-7024208,2022-07-19T05:37:50-07:00,25853,1.0
112-3088769-5375465,2022-07-19T05:55:38-07:00,36500,1.0
114-6142823-6556263,2022-07-19T06:18:04-07:00,10336C,1.0
114-6142823-6556263,2022-07-19T06:18:04-07:00,10316,1.0
111-8395754-0682633,2022-07-19T06:30:00-07:00,10316,1.0
112-1476591-9993027,2022-07-19T06:38:43-07:00,772589,3.0
113-7821901-2071444,2022-07-19T06:41:49-07:00,724300,1.0
112-6999641-1782632,2022-07-19T07:00:46-07:00,36500,10.0
111-4178011-9581030,2022-07-19T07:03:15-07:00,724500,2.0
113-3579210-7503464,2022-07-19T07:02:52-07:00,791192,1.0
113-6260213-8780227,2022-07-19T07:37:32-07:00,36500,1.0
114-8579924-7597829,2022-07-19T07:41:52-07:00,791192,4.0
114-0941156-2083418,2022-07-19T07:15:09-07:00,799388,2.0
114-7232252-9842651,2022-07-19T07:45:46-07:00,27-1TVA-IET3,1.0
114-7994463-4409054,2022-07-19T07:42:42-07:00,27-1TVA-IET3,2.0
114-7994463-4409054,2022-07-19T07:42:42-07:00,724300,2.0
112-0728701-3367423,2022-07-19T05:27:00-07:00,10316,2.0
113-0562134-6645008,2022-07-19T08:03:42-07:00,36500,1.0
114-8061467-4681032,2022-07-19T08:17:23-07:00,102630PLT,1.0
111-5201523-9208235,2022-07-19T08:36:43-07:00,772373,1.0
111-8095939-7977052,2022-07-19T08:47:27-07:00,724500,3.0
114-1032621-3430653,2022-07-19T08:54:42-07:00,724500,2.0
113-1696311-7576265,2022-07-19T08:57:50-07:00,724300,1.0
114-4799608-5645846,2022-07-19T09:09:17-07:00,36500,2.0
112-4731070-8097848,2022-07-19T09:13:45-07:00,30153,1.0
112-4731070-8097848,2022-07-19T09:13:45-07:00,71850,1.0
112-4731070-8097848,2022-07-19T09:13:45-07:00,724500,1.0
112-4731070-8097848,2022-07-19T09:13:45-07:00,36500,1.0
112-4776196-5733004,2022-07-19T09:35:23-07:00,724500,1.0
112-1662578-7244216,2022-07-19T09:36:46-07:00,42154,1.0
112-9100533-3108261,2022-07-19T09:42:14-07:00,791193,3.0
113-0552647-2433803,2022-07-19T09:54:45-07:00,10316,2.0
111-2365071-5493859,2022-07-19T09:57:06-07:00,724500,2.0
113-5749950-0085826,2022-07-15T03:23:51-07:00,791193,4.0
111-1605997-7360246,2022-07-19T09:58:48-07:00,24124,2.0
114-1308514-1333008,2022-07-19T10:01:20-07:00,724300,1.0
111-2363489-0511420,2022-07-19T10:13:44-07:00,24153,1.0
112-1313527-8930661,2022-07-12T12:23:32-07:00,10334C,1.0
114-9858522-8896231,2022-07-19T07:49:49-07:00,10311C,1.0
111-6482490-8275417,2022-07-19T10:27:00-07:00,791192,2.0
111-9139637-2620225,2022-07-19T10:30:56-07:00,779113,1.0
